id,name,city,state,categories,mission_goals,description,registration_id,accepts_items,accepts_volunteer_skills,website
2238,Nirmaan Trust,Kochi,Kerala,arts & culture,"Focused on inclusive arts & culture programs, especially targeting women, children and marginalized groups.","Nirmaan Trust works across Kochi, offering programs in arts & culture. They focus on long-term impact and community engagement.",REG6088797,toys,"medical, software development",https://www.nirmaantrust.org
2239,Udaan Centre,Visakhapatnam,Andhra Pradesh,mental health,"Working towards sustainable mental health solutions, focusing on community-driven projects and capacity building.",A grassroots organization dedicated to mental health with experience in project implementation and volunteer coordination.,REG5404258,clothes,,
2240,Shram Centre,Hyderabad,Telangana,"child welfare, livelihood","Working towards sustainable child welfare solutions, focusing on community-driven projects and capacity building.","Shram Centre works across Hyderabad, offering programs in child welfare. They focus on long-term impact and community engagement.",REG6512669,"food, books","legal aid, fundraising, logistics",
2241,Udaan Charitable Trust,Ahmedabad,Gujarat,disability support,"We provide support and resources for disability support, aiming to build local resilience and skills.","Udaan Charitable Trust works across Ahmedabad, offering programs in disability support. They focus on long-term impact and community engagement.",REG33858410,books,"project management, event management",
2242,Sahyog Mission,Kochi,Kerala,"education, environment","Working towards sustainable education solutions, focusing on community-driven projects and capacity building.",Sahyog Mission runs multiple initiatives in Kochi related to education and works closely with local beneficiaries.,REG65191611,,,
2243,Samanvay Federation,Jaipur,Rajasthan,livelihood,To improve access to livelihood services for underserved communities in Jaipur and surrounding areas.,"Samanvay Federation works across Jaipur, offering programs in livelihood. They focus on long-term impact and community engagement.",REG14400812,"medical supplies, blankets",,https://www.samanvayfederation.org
2244,Samanvay Trust,Bhopal,Madhya Pradesh,arts & culture,"Focused on inclusive arts & culture programs, especially targeting women, children and marginalized groups.",Samanvay Trust runs multiple initiatives in Bhopal related to arts & culture and works closely with local beneficiaries.,REG29124313,stationery,"fundraising, medical",
2245,Asha Trust,Bhopal,Madhya Pradesh,health,"Working towards sustainable health solutions, focusing on community-driven projects and capacity building.",A grassroots organization dedicated to health with experience in project implementation and volunteer coordination.,REG85295014,,"event management, agriculture expertise",
2246,Nirmaan Association,Thiruvananthapuram,Kerala,animal welfare,Committed to delivering scalable animal welfare interventions through partnerships with local stakeholders.,"Nirmaan Association works across Thiruvananthapuram, offering programs in animal welfare. They focus on long-term impact and community engagement.",REG83703515,food,"legal aid, medical",
2247,Nayi Disha Mission,Ahmedabad,Gujarat,human rights,Committed to delivering scalable human rights interventions through partnerships with local stakeholders.,Nayi Disha Mission runs multiple initiatives in Ahmedabad related to human rights and works closely with local beneficiaries.,REG16020216,"books, hygiene kits, stationery",medical,https://www.nayidishamission.org
2248,Samarpan Initiative,Thiruvananthapuram,Kerala,"women empowerment, health","Working towards sustainable women empowerment solutions, focusing on community-driven projects and capacity building.",A grassroots organization dedicated to women empowerment with experience in project implementation and volunteer coordination.,REG63561817,"hygiene kits, toys, food","marketing, logistics, project management",
2249,Jeevan Association,Ahmedabad,Gujarat,environment,Committed to delivering scalable environment interventions through partnerships with local stakeholders.,A grassroots organization dedicated to environment with experience in project implementation and volunteer coordination.,REG11724618,"food, medical supplies, toys","teaching, mentoring, legal aid",
2250,Sahyog Seva Kendra,Visakhapatnam,Andhra Pradesh,"child welfare, water & sanitation",To improve access to child welfare services for underserved communities in Visakhapatnam and surrounding areas.,"Sahyog Seva Kendra works across Visakhapatnam, offering programs in child welfare. They focus on long-term impact and community engagement.",REG29214219,"toys, stationery",mentoring,
2251,Saathi Mission,Guwahati,Assam,disaster relief,Committed to delivering scalable disaster relief interventions through partnerships with local stakeholders.,"Saathi Mission works across Guwahati, offering programs in disaster relief. They focus on long-term impact and community engagement.",REG15573220,hygiene kits,"teaching, marketing",
2252,Sahyog Society,Indore,Madhya Pradesh,health,"Working towards sustainable health solutions, focusing on community-driven projects and capacity building.",A grassroots organization dedicated to health with experience in project implementation and volunteer coordination.,REG63157221,"toys, blankets",,
2253,Nirmaan Seva Kendra,Mumbai,Maharashtra,"health, livelihood","Working towards sustainable health solutions, focusing on community-driven projects and capacity building.",Nirmaan Seva Kendra runs multiple initiatives in Mumbai related to health and works closely with local beneficiaries.,REG84652322,,logistics,
2254,Udaan Association,Vadodara,Gujarat,mental health,"Focused on inclusive mental health programs, especially targeting women, children and marginalized groups.","Udaan Association works across Vadodara, offering programs in mental health. They focus on long-term impact and community engagement.",REG74497123,,"data analysis, legal aid",
2255,Jeevan Seva Kendra,Guwahati,Assam,disaster relief,"We provide support and resources for disaster relief, aiming to build local resilience and skills.","Jeevan Seva Kendra works across Guwahati, offering programs in disaster relief. They focus on long-term impact and community engagement.",REG44785724,kitchenware,"logistics, teaching",
